Family,Genus,Species,Activity
Apogonidae,Apogon,aureus,N
Apogonidae,Cheilodipterus,macrodon,N
Apogonidae,Fowleria,aurita,N
Haemulidae,Anisotremus,virginicus,N
Haemulidae,Haemulon,aurolineatum,N
Haemulidae,Haemulon,flavolineatum,N
Chaetodontidae,Chaetodon,aculeatus,D
Chaetodontidae,Chaetodon,capistratus,D
Chaetodontidae,Forcipiger,longirostris,D
Scaridae,Calotomus,carolinus,D
Scaridae,Cetoscarus,bicolor,D
Scaridae,Sparisoma,aurofrenatum,D
Apogonidae,Astrapogon,stellatus,N
Apogonidae,Nectamia,fusca,N
Haemulidae,Anisotremus,davidsoni,N
Haemulidae,Haemulon,striatum,N
Chaetodontidae,Heniochus,chrysostomus,D
Chaetodontidae,Prognathodes,aculeatus,D
Scaridae,Scarus,coeruleus,D
Scaridae,Scarus,ghobban,D
Labridae,Bodianus,bilunulatus,D
Labridae,Bodianus,rufus,D
Labridae,Cheilio,inermis,D
Labridae,Halichoeres,argus,D
Labridae,Ctenolabrus,rupestris,D
Holocentridae,Holocentrus,adscensionis,N
Holocentridae,Sargocentron,microstoma,N
Holocentridae,Sargocentron,violaceum,N
Holocentridae,Mypristis,jacobus,N
Holocentridae,Neoniphon,marianus,N
Lutjanidae,Caesio,caerulaurea,D
Lutjanidae,Lutjanus,mahogoni,N
Lutjanidae,Ocyurus,chrysurus,D
Lutjanidae,Lutjanus,apodus,N
Lutjanidae,Lutjanus,fulviflamma,N
Trachichthyidae,Hoplosthethus,mediterraneus,N
Trachichthyidae,Optivus,elongatus,N
Trachichthyidae,Paratrachichthys,trailli,N
Pomacanthidae,Pomacanthus,imperator,D
Pomacanthidae,Centropyge,flavissimus,D
Pomacanthidae,Centropyge,nox,D
Pomacanthidae,Holacanthus,ciliaris,D
Pomacanthidae,Pomacanthus,arculatus,D
Sciaenidae,Bairdiella,batabana,D
Sciaenidae,Larimus,pacificus,D
Sciaenidae,Pogonias,cromis,N
Sciaenidae,Leiostomus,xanthurus,N
Sciaenidae,Equetus,punctatus,N
Sciaenidae,Sciaenops,ocellatus,N
Myctophidae,Lampadena,speculigera,N
Myctophidae,Myctophum,affine,N
Osmeridae,Osmerus,mordax,N
Mormyridae,Gnathonemus,longibarbis,D
Mormyridae,Hyperopisus,bebe,D
Notopteridae,Notopterus,notopterus,D
Pantodontidae,Pantodon,buchholzi,D
Osteoglossidae,Scleropages,formosus,D
Serranidae,Alphestes,afer,N
Serranidae,Rypticus,saponaceus,N
Serranidae,Diplectrum,formosum,D
Serranidae,Paranthias,furcifer,D
Serranidae,Serranus,psittacinus,D
Percidae,Percina,apina,D
Percidae,Percina,austroperca,D
Percidae,Percina,palmaris,D
Percidae,Percina,rex,D
Percidae,Percina,sipsi,D
Cichlidae,Chalinochromis ,brichardi,D
Cichlidae,Ctenochromis,horei,D
Cichlidae,Serranochromis ,robustus,D
Cichlidae,Maylandia,zebra,D
Cichlidae,Oreochromis,leucostictus,D
Cyprinidae,Aspius,aspius,D
Cyprinidae,Barbus,bynni,D
Cyprinidae,Campostoma,oligolepis,D
Cyprinidae,Danio,dangila,D
Cyprinidae,Hampala,macrolepidota,D
Centarchidae,Acantharchus,pomotis,D
Centarchidae,Amboplites,ariommus,D
Centarchidae,Centrarchus,macropterus,D
Centarchidae,Lepomis,auritus,D
Centarchidae,Micropterus,coosae,D
Catostomidae,Catostomus,commersonii,D
Catostomidae,Hypentelium,etowanum,D
Catostomidae,Moxostoma,duquesnii,D
Catostomidae,Thoburnia,rhothoeca,D
Catostomidae,Hypentelium,nigricans,D
Kuhliidae,Kuhlia,mugil,N
Gerreidae,Diapterus,rhombeus,D
Gerreidae,Eucinostomus,californiensis,D
Gerreidae,Gerres,cinereus,D
Scophthalmidae,Scophthalmus ,aquosus,D
Soleidae ,Dexillus,muelleri,D
Polymixiidae,Polymixia,lowei,N
Priacanthidae,Heteropriacanthus,cruentatus,N
Priacanthidae,Priacanthus,acenatus,N
Priacanthidae,Pristigenys,alta,N
Apteronotidae,Apteronotus,albifrons,N
Macrouridae,Corphaenoides,carapinus,N
Howellidae,Howella ,atlantica,N
Kyphosidae,Kyphosus,sectatrix,D
Kyphosidae,Kyphosus,incisor,D
Kyphosidae,Hermosilla,azurea,D
Kyphosidae,Girella ,zebra,D
Kyphosidae,Girella ,nigricans,D
