Family,Genus,Species,CN.N,,Canal.Width,Pore.Area,LL.Scale.N,Visible.Scale.Area,TL,Norm.CN,Norm.C.Width,Norm.PA,Norm.VSA,Norm.Scale.N
Apogonidae,Apogon,aureus,25,,0.571,0.051,25,5.828,115,0.217391304,0.004965217,0.000443478,0.050678261,0.217391304
Apogonidae,Cheilodipterus,macrodon,23,,0.467,0.054,23,6.195,140,0.164285714,0.003335714,0.000385714,0.04425,0.164285714
Apogonidae,Fowleria,aurita,22,,0.337,0.026,22,3.097,66,0.333333333,0.005106061,0.000393939,0.046924242,0.333333333
Haemulidae,Anisotremus,virginicus,58,,0.109,0.005,58,0.763,147,0.394557823,0.000741497,3.40136E-05,0.005190476,0.394557823
Haemulidae,Haemulon,aurolineatum,53,,0.171,0.019,53,1.348,176,0.301136364,0.000971591,0.000107955,0.007659091,0.301136364
Haemulidae,Haemulon,flavolineatum,48,,0.212,0.02,48,1.597,199,0.24120603,0.001065327,0.000100503,0.008025126,0.24120603
Chaetodontidae,Chaetodon,aculeatus,41,,0.26,0.018,41,1.626,84,0.488095238,0.003095238,0.000214286,0.019357143,0.488095238
Chaetodontidae,Chaetodon,capistratus,38,,0.233,0.016,38,3.84,94,0.404255319,0.002478723,0.000170213,0.040851064,0.404255319
Chaetodontidae,Forcipiger,longirostris,71,,0.197,0.009,71,0.697,105,0.676190476,0.00187619,8.57143E-05,0.006638095,0.676190476
Scaridae,Calotomus,carolinus,26,,0.275,0.035,26,15.234,165,0.157575758,0.001666667,0.000212121,0.092327273,0.157575758
Scaridae,Cetoscarus,bicolor,21,,0.205,0.029,21,22.491,168,0.125,0.001220238,0.000172619,0.133875,0.125
Scaridae,Sparisoma,aurofrenatum,24,,0.169,0.009,24,39.974,205,0.117073171,0.00082439,4.39024E-05,0.194995122,0.117073171
Apogonidae,Astrapogon,stellatus,24,,0.352,0.012,24,2.901,57,0.421052632,0.006175439,0.000210526,0.050894737,0.421052632
Apogonidae,Nectamia,fusca,24,,0.508,0.063,24,3.712,70,0.342857143,0.007257143,0.0009,0.053028571,0.342857143
Haemulidae,Anisotremus,davidsoni,58,,0.174,0.023,58,1.364,208,0.278846154,0.000836538,0.000110577,0.006557692,0.278846154
Haemulidae,Haemulon,striatum,51,,0.209,0.014,51,0.697,146,0.349315068,0.001431507,9.58904E-05,0.004773973,0.349315068
Chaetodontidae,Heniochus,chrysostomus,59,,0.185,0.012,59,2.533,96,0.614583333,0.001927083,0.000125,0.026385417,0.614583333
Chaetodontidae,Prognathodes,aculeatus,41,,0.136,0.007,41,0.886,75,0.546666667,0.001813333,9.33333E-05,0.011813333,0.546666667
Scaridae,Scarus,coeruleus,22,,0.366,0.074,22,9.275,111,0.198198198,0.003297297,0.000666667,0.083558559,0.198198198
Scaridae,Scarus,ghobban,24,,0.19,0.02,24,3.907,76,0.315789474,0.0025,0.000263158,0.051407895,0.315789474
Labridae,Bodianus,bilunulatus,36,,0.316,0.029,36,3.67,116,0.310344828,0.002724138,0.00025,0.031637931,0.310344828
